event_id,step_id,choice_order,choice_id,label,interaction_ids,next_step_id
event_week_003_night_carriage_crest,step_event_week_003_night_carriage_crest_intro,0,choice_week_003_carriage_crest_a,저건 옆 영지 자작가 문장이야. 가까운 곳이라 종종 지나가.,clever_plus_1|affinity_plus_1,step_event_week_003_night_carriage_crest_outro
event_week_003_night_carriage_crest,step_event_week_003_night_carriage_crest_intro,1,choice_week_003_carriage_crest_b,어느 집인지는 알 필요 없어. 그냥 지나가는 마차야.,anxious_plus_1|affinity_minus_1,step_event_week_003_night_carriage_crest_outro
event_week_003_night_carriage_crest,step_event_week_003_night_carriage_crest_intro,2,choice_week_003_carriage_crest_c,그건 너희 아빠가 별로 안 좋아하던 집이야. 이유는 잊어버렸지만.,curious_plus_1,step_event_week_003_night_carriage_crest_outro
event_week_004_night_other_kids,step_event_week_004_night_other_kids_intro,2,choice_week_004_other_kids_a,"그랬었지..아벨리아, 속상했니?",stable_plus_1|affinity_plus_1,step_event_week_004_night_other_kids_outro
event_week_004_night_other_kids,step_event_week_004_night_other_kids_intro,0,choice_week_004_other_kids_b,그건 그 애들 사정이고. 너는 너대로 잘 지내면 돼.,clever_plus_1|affinity_minus_1,step_event_week_004_night_other_kids_outro
event_week_004_night_other_kids,step_event_week_004_night_other_kids_intro,1,choice_week_004_other_kids_c,삼촌도 어렸을 때는 엄마 손 잡고 다녔어. 지금은 안 잡지만.,curious_plus_1,step_event_week_004_night_other_kids_outro
event_week_004_night_uncle_pride,step_event_week_004_night_uncle_pride_intro,0,choice_week_004_uncle_pride_a,그럼 있지. 나는 네 자랑을 입에 달고 산단다.,stable_plus_1|affinity_plus_1,step_event_week_004_night_uncle_pride_outro
event_week_004_night_uncle_pride,step_event_week_004_night_uncle_pride_intro,2,choice_week_004_uncle_pride_b,자랑은 어울리지 않아. 너는 백작가의 후계자니까 그런 식으로 보여지면 안 돼.,innocent_plus_1|affinity_minus_1,step_event_week_004_night_uncle_pride_outro
event_week_004_night_uncle_pride,step_event_week_004_night_uncle_pride_intro,1,choice_week_004_uncle_pride_c,남들 앞에서는 안 했어. 그건 너한테 직접 말하는 게 더 낫더라고.,clever_plus_1,step_event_week_004_night_uncle_pride_outro
event_week_005_night_too_many_classes,step_event_week_005_night_too_many_classes_intro,1,choice_week_005_too_many_classes_a,그래. 지칠 만 해. 솔직히 말해줘서 고맙구나. 함께 조율해보자.,stable_plus_1|affinity_plus_1,step_event_week_005_night_too_many_classes_outro
event_week_005_night_too_many_classes,step_event_week_005_night_too_many_classes_intro,2,choice_week_005_too_many_classes_b,백작가 영애로서 마땅히 거쳐야 할 과정이야. 조금만 더 견디자.,compliant_plus_1|affinity_minus_1,step_event_week_005_night_too_many_classes_outro
event_week_005_night_too_many_classes,step_event_week_005_night_too_many_classes_intro,0,choice_week_005_too_many_classes_c,내일 수업 하나 정도는 삼촌이 선생님한테 갑자기 일이 생겼다고 둘러대줄까?,curious_plus_1,step_event_week_005_night_too_many_classes_outro
event_week_005_night_unknown_frustration,step_event_week_005_night_unknown_frustration_intro,2,choice_week_005_unknown_frustration_a,천천히 찾아도 돼. 너무 성급해 하지 않아도 괜찮단다.,innocent_plus_1|affinity_plus_1,step_event_week_005_night_unknown_frustration_outro
event_week_005_night_unknown_frustration,step_event_week_005_night_unknown_frustration_intro,1,choice_week_005_unknown_frustration_b,다들 그래. 너만 그런 게 아니란다.,anxious_plus_1|affinity_minus_1,step_event_week_005_night_unknown_frustration_outro
event_week_005_night_unknown_frustration,step_event_week_005_night_unknown_frustration_intro,0,choice_week_005_unknown_frustration_c,그럼 일단 단 거 먹자. 단 거 먹으면 풀려.,innocent_plus_1,step_event_week_005_night_unknown_frustration_outro
event_week_006_night_ball_thoughts,step_event_week_006_night_ball_thoughts_intro,0,choice_week_006_ball_thoughts_a,여러 가지였겠지. 그중엔 네가 정말 예쁘다고 생각한 사람도 있었을 거란다.,stable_plus_1|affinity_plus_1,step_event_week_006_night_ball_thoughts_outro
event_week_006_night_ball_thoughts,step_event_week_006_night_ball_thoughts_intro,1,choice_week_006_ball_thoughts_b,"남들이 무슨 생각을 했는지보다, 네가 잘 했다는 게 중요해.",cautious_plus_1,step_event_week_006_night_ball_thoughts_outro
event_week_006_night_ball_thoughts,step_event_week_006_night_ball_thoughts_intro,2,choice_week_006_ball_thoughts_c,"아벨리아, 너를 계산적으로 봤을 거야. 그 자리는 그런 자리니까.",clever_plus_1|affinity_minus_1,step_event_week_006_night_ball_thoughts_outro
event_week_006_night_chicken_dream,step_event_week_006_night_chicken_dream_intro,1,choice_week_006_chicken_dream_a,"하하하, 그래, 무서웠겠구나. 닭이 그렇게 크면 무섭지.",stable_plus_1|affinity_plus_1,step_event_week_006_night_chicken_dream_outro
event_week_006_night_chicken_dream,step_event_week_006_night_chicken_dream_intro,0,choice_week_006_chicken_dream_b,꿈은 그냥 꿈이야. 의미를 부여할 필요 없단다.,clever_plus_1|affinity_minus_1,step_event_week_006_night_chicken_dream_outro
event_week_006_night_chicken_dream,step_event_week_006_night_chicken_dream_intro,2,choice_week_006_chicken_dream_c,그러게 닭 좀 그만 먹으라 하지 않았니. 며칠 전에도 통구이 한 마리를 다 먹더니..,curious_plus_1,step_event_week_006_night_chicken_dream_outro
event_week_007_night_untold_story,step_event_week_007_night_untold_story_intro,2,choice_week_007_untold_story_a,…심장이 안 좋았어. 네 아빠도 알고 있었고. 마음이 너무 힘들었던게지.,clever_plus_1|affinity_plus_1,step_event_week_007_night_untold_story_outro
event_week_007_night_untold_story,step_event_week_007_night_untold_story_intro,0,choice_week_007_untold_story_b,그건 지금 꺼낼 얘기가 아닌 것 같구나. 성인식 끝나면 천천히 얘기하자.,innocent_plus_1|affinity_minus_1,step_event_week_007_night_untold_story_outro
event_week_007_night_untold_story,step_event_week_007_night_untold_story_intro,1,choice_week_007_untold_story_c,"어른들이 너한테 말 안 한 건, 너를 지키려고 한 거란다. 좋은 방식이었는지는 모르겠지만.",cautious_plus_1,step_event_week_007_night_untold_story_outro
event_week_007_night_unknown_mother,step_event_week_007_night_unknown_mother_intro,0,choice_week_007_unknown_mother_a,"좋은 사람이었지. 형이 시끄럽게 굴면, 그 옆에서 그냥 웃어주는 그런 사람.",stable_plus_1|affinity_plus_1,step_event_week_007_night_unknown_mother_outro
event_week_007_night_unknown_mother,step_event_week_007_night_unknown_mother_intro,2,choice_week_007_unknown_mother_b,마리나 집사장에게 물어보렴. 그 사람들이 더 잘 알 거야.,defiant_plus_1|affinity_minus_1,step_event_week_007_night_unknown_mother_outro
event_week_007_night_unknown_mother,step_event_week_007_night_unknown_mother_intro,1,choice_week_007_unknown_mother_c,네 엄마는 가계부 숫자를 한 번도 틀린 적이 없었어. 그건 너랑 안 닮았구나.,curious_plus_1,step_event_week_007_night_unknown_mother_outro
event_week_008_night_uncle_time,step_event_week_008_night_uncle_time_intro,2,choice_week_008_uncle_time_a,사실은 도망치고 싶었단다. 네가 내 소매를 잡고 잠들어서 못 갔었지.,stable_plus_1|affinity_plus_1,step_event_week_008_night_uncle_time_outro
event_week_008_night_uncle_time,step_event_week_008_night_uncle_time_intro,1,choice_week_008_uncle_time_b,내가 해야 할 일을 해야겠다는 생각뿐이었어.,compliant_plus_1|affinity_minus_1,step_event_week_008_night_uncle_time_outro
event_week_008_night_uncle_time,step_event_week_008_night_uncle_time_intro,0,choice_week_008_uncle_time_c,솔직히 그날은 너무 추워서 다른 생각이 안 났단다. 눈도 오고.,clever_plus_1,step_event_week_008_night_uncle_time_outro
event_week_008_night_sleepless_night,step_event_week_008_night_sleepless_night_intro,0,choice_week_008_sleepless_night_a,"아벨리아, 너무 걱정하지말거라. 옆에 삼촌이 있을 테니.",stable_plus_1|affinity_plus_1,step_event_week_008_night_sleepless_night_outro
event_week_008_night_sleepless_night,step_event_week_008_night_sleepless_night_intro,1,choice_week_008_sleepless_night_b,오늘은 일찍 들어가서 자도록 해. 내일 컨디션이 중요하니까.,innocent_plus_1|affinity_minus_1,step_event_week_008_night_sleepless_night_outro
event_week_008_night_sleepless_night,step_event_week_008_night_sleepless_night_intro,2,choice_week_008_sleepless_night_c,"그럼 양을 한 마리, 두 마리 세고 자렴.",innocent_plus_1,step_event_week_008_night_sleepless_night_outro
story_prologue,step_prologue_abelia_enters,2,choice_prologue_answer_yes,응.,,step_prologue_after_choice
story_prologue,step_prologue_abelia_enters,0,choice_prologue_answer_who_said,누가 그런 말을 했니.,,step_prologue_after_choice
story_prologue,step_prologue_abelia_enters,1,choice_prologue_answer_silence,(아무 말도 하지 않는다),,step_prologue_after_choice
